Time,HF kWm2,St I2,St J2,St I,St J
12.089,10.18536037,139.77191,227.76315,152.04539,149.71564
12.119,11.07803426,139.6848,226.2851,151.94551,149.51225
12.149,12.62925418,139.57042,224.9198,151.94954,148.58818
12.179,12.49754497,139.4579,223.48036,151.92982,147.72307
12.209,12.07316365,139.39058,222.7728,151.97255,146.66296
12.239,12.05853066,139.35184,222.03922,151.98932,146.15361
12.269,11.60487108,139.29089,222.35294,152.06808,145.22025
12.299,13.44876311,139.33258,222.99608,152.18977,144.31097
12.329,14.09267614,139.29991,225.19304,152.28291,143.59547
12.359,13.22925595,139.35124,227.47073,152.34389,143.02338
12.389,12.65852016,139.30096,228.11285,152.40558,142.91197
12.419,12.98047054,139.49336,228.71347,152.4688,143.07553
12.449,12.67315315,139.66785,229.80663,152.4743,143.3318
12.479,12.05853066,139.94006,229.89709,152.48073,143.55008
12.509,11.47316188,140.14507,229.45833,152.53096,144.41046
12.539,10.7414509,140.2903,228.64066,152.70256,143.94394
12.569,10.58047571,140.51231,227.53804,152.87369,143.20876
12.599,10.69755192,140.8522,226.12004,152.99535,142.40735
12.629,10.17072738,141.09872,224.78394,153.06277,141.84444
12.659,9.731700792,141.18973,224.06853,152.97827,141.90225
12.689,9.497548368,141.20551,223.65936,152.69272,142.9995
12.719,9.585358596,141.16087,223.43991,152.52251,144.1004
12.749,9.409750416,141.34351,223.82916,152.45471,145.14844
12.779,9.7170678,141.53331,224.79317,152.45949,145.89867
12.809,10.21462636,141.76015,225.55862,152.48752,145.73271
12.839,10.41950052,141.8494,226.11322,152.46083,145.49588
12.869,10.17072738,141.76045,227.06598,152.37683,146.06371
12.899,10.94632506,141.73253,228.24242,152.3958,146.69598
12.929,11.54632684,141.62543,228.5298,152.3075,147.36194
12.959,12.39511403,141.45506,229.30466,152.30948,147.54382
12.989,12.96583754,141.25746,229.64597,152.46423,147.90218
13.019,13.14144572,141.12646,229.2494,152.49521,148.31358
13.049,13.43413012,141.01971,228.23907,152.55299,148.24489
13.079,12.95120455,140.89983,226.77141,152.51216,147.66428
13.109,12.10242964,140.76517,224.75883,152.50986,147.16229
13.139,11.97072043,140.65479,222.3674,152.52,146.19287
13.169,12.29267081,140.5667,220.36961,152.47935,145.25613
13.199,12.38048104,140.51039,218.38338,152.47488,144.49654
13.229,13.22925595,140.43967,216.91522,152.43201,143.86208
13.259,13.36096516,140.44943,216.20198,152.38551,143.20773
13.289,13.02438179,140.38162,216.99246,152.37906,142.636
13.319,12.3073038,140.44688,216.95251,152.35806,142.24565
13.349,11.92682146,140.42102,217.20366,152.39146,141.97041
